import time: self [us] | cumulative | imported package
import time:      4659 |       6404 |                         attr._make
import time:      1218 |       8342 |                       attr.converters
import time:       664 |        664 |                       attr.filters
import time:      4227 |       4227 |                       attr.validators
import time:       848 |        848 |                       attr._cmp
import time:       848 |        848 |                       attr._funcs
import time:       625 |        625 |                       attr._next_gen
import time:      1030 |       1030 |                       attr._version_info
import time:      2467 |      19047 |                     attr
import time:       608 |        608 |                     rich.abc
import time:      2467 |      22223 |                   rich.pretty
import time:       728 |        728 |                   rich.region
import time:       723 |        723 |                       rich.box
import time:       613 |        613 |                       rich.padding
import time:      1023 |       2358 |                     rich.panel
import time:      2281 |       2281 |                         fractions
import time:       865 |       3145 |                       rich._ratio
import time:      2587 |       5732 |                     rich.table
import time:       959 |       9048 |                   rich.scope
import time:      1037 |       1037 |                   rich.screen
import time:       762 |        762 |                   rich.styled
import time:      7250 |     102157 |                 rich.console
import time:        86 |         86 |                   mmap
import time:       630 |        630 |                   rich.filesize
import time:      1026 |       1026 |                       rich.ansi
import time:       876 |       1902 |                     rich.file_proxy
import time:       775 |        775 |                     rich.live_render
import time:      1284 |       3960 |                   rich.live
import time:       635 |        635 |                   rich.progress_bar
import time:       750 |        750 |                     rich._spinners
import time:      1138 |       1888 |                   rich.spinner
import time:      3669 |      10866 |                 rich.progress
import time:       623 |        623 |                     pygments.filter
import time:      2675 |       2675 |                       pygments.token
import time:      1184 |       3859 |                     pygments.filters
import time:      1171 |       1171 |                     pygments.regexopt
import time:      1767 |       7419 |                   pygments.lexer
import time:       853 |        853 |                   pygments.style
import time:      1109 |       1109 |                     pygments.styles._mapping
import time:       923 |       2032 |                   pygments.styles
import time:      2595 |      12897 |                 rich.syntax
import time:      1853 |     152948 |               httpx._main
import time:      2153 |     180890 |             httpx
import time:      1908 |       1908 |                     openai._types
import time:       794 |        794 |                             sniffio._version
import time:       699 |        699 |                             sniffio._impl
import time:      1336 |       2827 |                           sniffio
